distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_camera_color_std_g,metadata.synth_metadata_mean_std_synth_camera_color_std_r,metadata.synth_metadata_mean_std_synth_camera_color_std_b,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_CardBox_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_occurrence,metadata.synth_metadata_mean_std_synth_distractor_scale_mean,metadata.synth_metadata_mean_std_synth_distractor_scale_std,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_focal_length_std,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std,metadata.synth_metadata_mean_std_synth_materials_roughness_mean,metadata.synth_metadata_mean_std_synth_materials_roughness_std,metadata.synth_metadata_mean_std_synth_motion_blur_mean,metadata.synth_metadata_mean_std_synth_motion_blur_std,metadata.synth_metadata_mean_std_synth_noise_std_mean,metadata.synth_metadata_mean_std_synth_noise_std_std,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_2,metadata.synth_metadata_mean_std_synth_texture_3
dist_221,simulation_1,128,2.1685246513146863,0.3296957412675747,0,0,0,-1,2,5.544593771266148,7.413222697631855,0,1,-20,4.592358776148938,pinhole,180,76.77406503074896,0.9721789472157305,1,18,6,jpeg,81,0,0.4174746495335886,1.059192552664494,2,3,3,5,1,2,2,1,4,2,1,1,2,2,2,2,1.25,0.14432770778918996,warehouse_with_forklifts,0,86,5.017618495581347,0,1.0139713709892024,0.0020563208683620784,0.9519380881580718,0.0012706560401191014,1.0226548979950862,0.0005279686294990699,97.5,1.4433900134329725,91184,581798,274,226.85173985967543,0.5091899397041099,0.2737220621849452,2.001422119616169,0.46381692319668477,6,2.309400267151474,nv_marble.jpg,nv_concrete_aged_with_lines.jpg,nv_gravel_grey_leaves.jpg
dist_222,simulation_1,128,1.1678575649762053,0.3687918882964087,0,0,0,-1,2,3.8562514506078207,8.809220220933685,0,1,-10,3.4502128459978065,pinhole,180,100.4472239785063,0.9445500101297429,1,28,7,gaussian_jpeg,88,0,8.89585724154114,1.7011615038929193,2,3,2,2,1,2,2,2,2,2,1,1,1,2,1,2,1.25,0.14433437551076966,warehouse,0,99,7.5384946283476175,1,0.9519971551142107,0.008013238230873031,0.9706487744825608,0.0042399375756108455,1.0219295514795008,0.0009486775401556495,97.5,1.4433826435406598,110551,374152,64,80.48740180493641,0.5154485583166968,0.13858256047080383,0.21530500293024424,0.29754637890702823,6,2.309400912376496,nv_brick_red_stacked.jpg,nv_brick_reclaimed.jpg,nv_asphalt_yellow_weathered.jpg
dist_223,simulation_1,128,1.8128869372831748,0.33715300208694754,0,0,0,-1,2,3.9010280442893133,6.777505661989578,0,2,-8,5.628645107492579,pinhole,180,100.34535875225183,1.4576899858773702,1,26,5,gaussian_jpeg,62,0,6.670177710740329,1.2618103898550543,2,3,2,2,1,2,4,2,2,2,1,1,1,2,2,2,1.25,0.14433597556512265,warehouse,0,59,6.450307442898855,0,0.9500010958926889,0.0010362119914550123,0.959546848533348,0.0004150377172142545,0.9870808272752143,0.012192376397026023,97.5,1.4433788197615829,134332,344211,64,83.48288268965334,0.3965056445113659,0.13304017132212165,0.5312342014392524,0.37263943212701967,6,2.3094009976240515,nv_brick_red_stacked.jpg,nv_brick_reclaimed.jpg,nv_asphalt_yellow_weathered.jpg
dist_224,simulation_1,128,1.4617589148953272,0.12111828057609116,0,0,0,-1,2,3.2278441271349667,6.434573980151134,0,2,-13,4.561871835244557,pinhole,180,105.4557775455609,0.611323086804095,1,22,5,jpeg,90,1,2.2673235600494754,0.2492230466812227,3,4,4,4,1,2,2,2,4,2,1,1,3,2,1,2,1.25,0.14433588465527122,warehouse_with_forklifts,0,62,4.4624545794554225,0,0.999656504239103,0.002236051623826056,1.021877234632498,0.01155016242338171,0.9767092237912394,0.0065687613307373,97.5,1.4433789077841184,124212,527155,350,192.19197037907225,0.47932964662862415,0.2282727126981427,2.3185321814290676,0.5037791882158946,6,2.3094003008395863,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,nv_gravel_grey_leaves.jpg
dist_225,simulation_1,128,2.4869815763838696,0.8129470410875586,0,0,0,-1,2,4.521143595932109,4.551457927637397,0,1,-10,4.239827023858412,pinhole,180,69.92942063476204,2.6571438853405205,0,33,5,shot,68,3,11.238604022673824,0.898776190947083,2,3,3,2,1,2,2,5,2,4,1,2,2,2,3,2,1.25,0.14430639311611257,warehouse,0,77,7.490712519172689,0,0.9725926428278783,0.018725338625477754,1.0306001965975062,0.00298977219426755,0.994951259498816,0.0040753296765580595,97.5,1.4433991999675821,140760,71959,301,258.02413532903006,0.5303517498850709,0.1878034206960199,2.4294492036333364,0.7611922491930717,6,2.3094009287830652,nv_asphalt_yellow_weathered.jpg,nv_stone_painted_grey.jpg,
dist_226,simulation_1,128,1.8310692209361943,0.2867021541110132,0,0,0,-1,2,5.9563408673426155,6.49669066088294,0,0,-10,2.112631598361079,pinhole,180,82.88111636052209,0.6620514428562373,0,33,8,gaussian,71,1,3.6394007612892567,0.4557209323003913,2,4,3,2,1,2,3,2,2,3,1,1,1,2,1,2,1.25,0.14433624081157756,full_warehouse,0,63,5.642930567811594,0,0.9569868506059799,0.022756201305147886,1.0227248693371704,0.006848940760399971,0.9175211364328536,0.008452061161400097,97.5,1.4433785080937098,211262,60060,246,1.6798528797265817,0.38473371227705144,0.1148976672164589,0.6144514497284227,0.04721465653332226,6,2.3094010114613774,nv_marble.jpg,nv_tile_hexagonal_green_white.jpg,nv_granite_tile.jpg
dist_227,simulation_1,128,2.3922153643266646,0.1097575229526432,0,0,0,-1,2,3.7750583234073476,6.197033057958427,0,1,-9,2.3497486811715964,pinhole,180,76.08686368117829,2.649019682033334,1,27,5,jpeg,100,0,2.850801773746049,0.127770351875188,2,3,3,2,1,2,3,1,4,2,1,2,2,2,2,2,1.25,0.14433242039287564,warehouse_with_forklifts,0,76,5.025871504373641,0,1.0112511369322323,0.004176486241958764,0.937779235476688,0.0017363008711762011,1.0004956211532408,0.003265656904949379,97.5,1.4433793194708888,132431,585725,431,239.37033563727414,0.5416487404950415,0.23697682758064442,1.9875922499099323,0.7312617621095207,6,2.3094001606273227,nv_marble.jpg,nv_concrete_aged_with_lines.jpg,nv_gravel_grey_leaves.jpg
dist_228,simulation_1,128,2.0824705803862806,0.22288209124154912,0,0,0,-1,2,4.7743536592735865,7.624443922454921,0,1,-15,2.981640724708246,pinhole,180,89.43934200125757,0.7113330681091129,0,31,8,gaussian,99,0,1.0888104912385677,0.2659723947044433,2,2,3,2,1,2,3,1,2,2,1,1,1,2,2,2,1.25,0.144331616669277,full_warehouse,0,62,3.1070881149409306,0,1.1574479556900286,0.002806307717826038,1.0255393536480217,0.006299161093210043,0.9990735092671331,0.004808167193289143,97.5,1.4433804592702362,213500,70949,197,86.825787822888,0.2952316938810147,0.12553116092735486,0.4161670461673803,0.08549263286145467,6,2.309400896985731,nv_asphalt_yellow_weathered.jpg,nv_tile_hexagonal_green_white.jpg,nv_granite_tile.jpg
dist_229,simulation_1,128,2.566565284284612,0.3073007431333932,0,0,0,-1,2,5.191080935044984,7.392133321872875,0,2,-9,2.1431852615739513,pinhole,180,88.27621752092416,0.9623009817741438,0,32,10,gaussian,64,0,0.5964564098464978,0.21670565162777042,2,3,2,3,1,2,3,3,2,2,2,1,1,2,1,2,1.25,0.14433374856664638,full_warehouse,0,74,4.75088278969509,0,0.8959404293199373,0.002809312278029046,0.9959649378727874,0.0014445548622992845,1.0401969262656945,0.0001459527261003001,97.5,1.4433880559431809,200055,28907,221,59.881131891751714,0.2564129049111903,0.14203806699539281,1.1608254459210412,0.12344526093773575,6,2.3094008983669925,nv_marble.jpg,nv_tile_hexagonal_green_white.jpg,nv_granite_tile.jpg
dist_230,simulation_1,128,1.094560266051884,0.09108923783135535,0,0,0,-1,2,3.99491411057868,8.480280340358004,0,0,-9,3.970269579945542,pinhole,180,92.09643191525146,0.6200169945922773,1,19,6,jpeg,74,0,2.586778626957489,0.6649666917462659,2,4,2,5,1,2,4,1,4,2,1,1,3,2,1,2,1.25,0.14433155245127674,warehouse_with_forklifts,0,98,4.212188833498078,0,0.9240817826388864,0.013552083649722909,0.991285744167795,0.004456748381145105,1.0230001329216418,0.0013042072505483554,97.5,1.4433844621030705,121288,519597,302,245.2818193378931,0.4212536402229719,0.2750286714964463,2.165093877238101,0.5689959018882157,6,2.3094003539407764,nv_marble.jpg,nv_asphalt_yellow_weathered.jpg,nv_gravel_grey_leaves.jpg
dist_231,simulation_1,128,0.9243589518790667,0.38619142931091066,0,0,0,-1,2,5.477446905852695,7.168945484414781,0,1,-15,4.773538047410788,pinhole,180,108.06594196943422,1.2465929144370973,0,30,6,gaussian_jpeg,76,1,4.14176585235289,1.5246042993527424,3,2,3,2,1,2,4,2,2,3,1,1,1,2,1,2,1.25,0.14433338087565167,warehouse,0,57,8.137240975257205,0,1.125451922335405,0.019682378288103045,0.9331935822537869,0.010549873422188227,0.9792259571456243,0.02779954823733234,97.5,1.4433771597287832,60821,273509,138,78.70554286875876,0.48283887091007704,0.12782856155822314,1.0387195932385072,0.3167691180333275,6,2.309401015824213,nv_stone_painted_grey.jpg,nv_brick_reclaimed.jpg,nv_asphalt_yellow_weathered.jpg
dist_232,simulation_1,128,2.512997791752747,0.10609536378252324,0,0,0,-1,2,3.7032007284859425,7.862581745670918,0,1,-13,1.9605694813234942,pinhole,180,95.56426183751718,0.33538043555403607,0,34,10,gaussian,81,1,1.1149051989130665,0.3686786681542341,2,3,2,3,1,2,4,4,3,4,1,2,1,2,1,2,1.25,0.14433689370958633,full_warehouse,0,66,4.298243740096469,0,1.0054634226173575,0.00023438239485299657,0.988175115869115,0.0016269418245589392,0.9815830904772508,0.009746433335684982,97.5,1.4433834921241915,159481,211009,79,111.02552551267782,0.3502873256052173,0.12827194219226523,1.2063404924673231,0.08185216580409144,6,2.30940094684068,nv_brick_reclaimed.jpg,nv_tile_hexagonal_green_white.jpg,nv_granite_tile.jpg
dist_233,simulation_1,128,2.916857963711114,0.15286736112773044,0,0,0,-1,2,5.513302172923432,6.841018140180856,0,1,-9,2.1843815785352403,pinhole,180,83.74117947991652,2.730780282995172,0,35,8,gaussian,99,0,3.8398334401290204,0.17974796135844548,2,2,2,2,1,2,3,3,3,2,2,1,2,2,1,2,1.25,0.14432779974374071,full_warehouse,0,63,7.079718187454083,0,0.9717414491705816,0.007537511128194459,1.0530941930162971,0.0036611640184557722,0.9751385423560599,0.023202066497706716,97.5,1.443385915624833,174756,48746,127,41.700581801930646,0.30578299622817545,0.10024347140262199,0.9256788319373003,0.07408436773579037,6,2.309400978897949,nv_marble.jpg,nv_tile_hexagonal_green_white.jpg,nv_concrete_aged_with_lines.jpg
